date,hour,waves_size,wind_speed,wind_direction
Mercredi 18 Février,06:00,2.3-3.5,30,Sud Ouest
Mercredi 18 Février,09:00,2.3-3.4,23,Sud Ouest
Mercredi 18 Février,12:00,2.3-3.4,29,Sud
Mercredi 18 Février,15:00,2.2-3.4,36,Sud
Mercredi 18 Février,18:00,2.7-4.0,47,Sud Ouest
Mercredi 18 Février,21:00,4.0-6.1,58,Ouest Sud Ouest
Jeudi 19 Février,06:00,5.4-8.1,46,Ouest Nord Ouest
Jeudi 19 Février,09:00,5.7-8.6,58,Ouest Nord Ouest
Jeudi 19 Février,12:00,5.9-8.9,59,Ouest Nord Ouest
Jeudi 19 Février,15:00,6.0-9.0,55,Ouest Nord Ouest
Jeudi 19 Février,18:00,5.8-8.7,56,Ouest Nord Ouest
Jeudi 19 Février,21:00,5.4-8.1,49,Nord Ouest
Vendredi 20 Février,06:00,3.8-5.7,28,Nord Ouest
Vendredi 20 Février,09:00,3.3-5.0,21,Nord Ouest
Vendredi 20 Février,12:00,2.9-4.4,17,Ouest Nord Ouest
Vendredi 20 Février,15:00,2.6-3.9,18,Ouest Nord Ouest
Vendredi 20 Février,18:00,2.4-3.5,15,Ouest Nord Ouest
Vendredi 20 Février,21:00,2.1-3.2,13,Ouest
Samedi 21 Février,06:00,1.8-2.7,13,Sud Ouest
Samedi 21 Février,09:00,1.8-2.7,11,Sud Ouest
Samedi 21 Février,12:00,1.9-2.8,12,Sud Sud Ouest
Samedi 21 Février,15:00,2.0-3.0,11,Sud Ouest
Samedi 21 Février,18:00,2.1-3.2,8,Ouest
Samedi 21 Février,21:00,2.3-3.4,5,Nord
Dimanche 22 Février,06:00,2.3-3.4,10,Sud Est
Dimanche 22 Février,09:00,2.1-3.2,9,Sud Est
Dimanche 22 Février,12:00,2.1-3.1,10,Sud Sud Ouest
Dimanche 22 Février,15:00,2.0-3.0,11,Sud Ouest
Dimanche 22 Février,18:00,1.9-2.9,6,Ouest Sud Ouest
Dimanche 22 Février,21:00,1.9-2.9,6,Ouest
Lundi 23 Février,06:00,2.1-3.1,8,Ouest Sud Ouest
Lundi 23 Février,09:00,2.1-3.2,9,Ouest
Lundi 23 Février,12:00,2.2-3.3,10,Ouest Sud Ouest
Lundi 23 Février,15:00,2.2-3.4,9,Sud Ouest
Lundi 23 Février,18:00,2.2-3.3,4,Sud Ouest
Lundi 23 Février,21:00,2.2-3.3,4,Est Sud Est
Mardi 24 Février,06:00,2.1-3.1,12,Est Sud Est
Mardi 24 Février,09:00,2.0-3.0,11,Sud Est
Mardi 24 Février,12:00,1.9-2.9,12,Sud
Mardi 24 Février,15:00,1.8-2.7,12,Sud Sud Ouest
Mardi 24 Février,18:00,1.7-2.5,11,Sud Sud Ouest
Mardi 24 Février,21:00,1.6-2.4,9,Sud Sud Ouest
